beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1801272,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision-Pedestrian,03/22/18,20:56,03/22/18,21:41,03/22/18,20:56,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1802976,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision With Injuries,08/13/18,13:32,08/13/18,14:38,08/13/18,13:32,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1803180,34TH ST & MCCLINTOCK AV,,,0,TRAFFIC,Traffic Collision Without Injuries,08/25/18,11:50,08/25/18,11:50,08/25/18,11:56,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1801067,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered/Impounded Bicycle,03/06/18,14:51,03/06/18,14:51,03/06/18,14:51,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1801162,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,03/13/18,08:00,03/13/18,11:27,03/13/18,11:27,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1801619,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered/Impounded Bicycle,04/11/18,15:00,04/11/18,21:00,04/12/18,10:36,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1801690,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,04/17/18,11:44,04/17/18,12:13,04/17/18,11:44,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1801983,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,05/06/18,22:00,05/07/18,08:30,05/07/18,08:45,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
A,1802314,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered Property Without a Crime,06/11/18,16:30,06/11/18,16:50,06/11/18,17:04,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jun
A,1803039,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,08/17/18,16:30,08/17/18,16:30,08/17/18,16:55,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
